# Range Matrix: 64 beams x 59 scans
20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,3.184,2.530,2.565,2.662,2.987,3.319,3.202,3.182,2.510,2.536,2.599,2.771,20.000,20.000,20.000,20.000,20.000,20.000,20.000
20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,3.178,2.447,2.490,2.583,2.876,3.242,3.138,3.129,2.617,2.607,2.639,2.845,4.327,4.839,20.000,20.000,20.000,20.000,20.000
19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,19.416,4.463,3.174,2.372,2.422,2.512,2.777,3.081,2.208,2.822,2.735,2.585,2.563,2.975,4.456,4.566,19.416,19.416,19.416,19.416,19.416
18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,18.361,4.217,3.178,2.304,2.360,2.448,2.687,2.554,2.000,2.177,2.673,2.519,2.494,3.189,4.474,4.455,5.048,18.361,18.361,18.361,18.361
17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,17.434,4.082,3.171,3.322,2.304,2.390,2.606,2.125,1.904,1.994,2.336,2.460,2.991,4.438,4.363,5.014,17.434,17.434,17.434,17.434,17.434
16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,16.616,4.650,3.144,3.294,3.331,2.338,2.533,2.011,1.830,1.884,2.153,2.406,4.011,4.349,4.262,16.616,16.616,16.616,16.616,16.616,16.616
15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,15.890,4.627,3.917,3.270,3.140,2.290,2.467,1.914,1.764,1.788,1.999,2.357,3.546,3.521,15.890,15.890,15.890,15.890,15.890,15.890,15.890
15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,15.243,4.600,4.081,3.200,2.999,2.967,3.116,1.828,1.704,1.717,3.327,3.413,3.263,3.314,15.243,15.243,15.243,15.243,15.243,15.243,15.243
14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,14.663,4.224,3.234,2.898,2.880,3.010,3.047,1.644,1.670,3.481,3.209,3.151,3.191,14.663,14.663,14.663,14.663,14.663,14.663,14.663
14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,14.142,4.119,3.223,3.135,2.956,3.055,3.026,2.416,2.800,3.433,2.866,2.922,3.094,14.142,14.142,14.142,14.142,14.142,14.142,14.142
