# LiDAR Point Cloud Data
# Session: 20251016_195718
# Lines: 64, FOV: 128°
# Format: X Y Z Range
# Total Points: 3566
-16.643 0.000 -9.980 19.416
-15.399 0.000 -9.980 18.361
-14.281 0.000 -9.980 17.434
-13.270 0.000 -9.980 16.616
-12.349 0.000 -9.980 15.890
-11.504 0.000 -9.980 15.243
-10.724 0.000 -9.980 14.663
-10.000 0.000 -9.980 14.142
-9.325 0.000 -9.980 13.673
-8.693 0.000 -9.980 13.250
-8.098 0.000 -9.980 12.868
-7.536 0.000 -9.980 12.521
-7.002 0.000 -9.980 12.208
-6.494 0.000 -9.980 11.924
-6.009 0.000 -9.980 11.666
-5.543 0.000 -9.980 11.434
-5.095 0.000 -9.980 11.223
-4.663 0.000 -9.980 11.034
-4.245 0.000 -9.980 10.864
-3.839 0.000 -9.980 10.711
-3.443 0.000 -9.980 10.576
-3.057 0.000 -9.980 10.457
-2.679 0.000 -9.980 10.353
-2.309 0.000 -9.980 10.263
-1.944 0.000 -9.980 10.187
-1.584 0.000 -9.980 10.125
-1.228 0.000 -9.980 10.075
-0.875 0.000 -9.980 10.038
-0.524 0.000 -9.980 10.014
-0.175 0.000 -9.980 10.002
0.175 0.000 -9.980 10.002
0.524 0.000 -9.980 10.014
0.875 0.000 -9.980 10.038
1.228 0.000 -9.980 10.075
1.584 0.000 -9.980 10.125
1.944 0.000 -9.980 10.187
2.309 0.000 -9.980 10.263
2.679 0.000 -9.980 10.353
3.057 0.000 -9.980 10.457
3.443 0.000 -9.980 10.576
3.839 0.000 -9.980 10.711
4.245 0.000 -9.980 10.864
4.663 0.000 -9.980 11.034
5.095 0.000 -9.980 11.223
5.543 0.000 -9.980 11.434
6.009 0.000 -9.980 11.666
6.494 0.000 -9.980 11.924
7.002 0.000 -9.980 12.208
7.536 0.000 -9.980 12.521
8.098 0.000 -9.980 12.868
8.693 0.000 -9.980 13.250
9.325 0.000 -9.980 13.673
10.000 0.000 -9.980 14.142
10.724 0.000 -9.980 14.663
11.504 0.000 -9.980 15.243
12.349 0.000 -9.980 15.890
13.270 0.000 -9.980 16.616
14.281 0.000 -9.980 17.434
15.399 0.000 -9.980 18.361
16.643 0.000 -9.980 19.416
-16.643 0.000 -9.640 19.416
-15.399 0.000 -9.640 18.361
-14.281 0.000 -9.640 17.434
-13.270 0.000 -9.640 16.616
-12.349 0.000 -9.640 15.890
-11.504 0.000 -9.640 15.243
-10.724 0.000 -9.640 14.663
-10.000 0.000 -9.640 14.142
-9.325 0.000 -9.640 13.673
-8.693 0.000 -9.640 13.250
-8.098 0.000 -9.640 12.868
-7.536 0.000 -9.640 12.521
-7.002 0.000 -9.640 12.208
-6.494 0.000 -9.640 11.924
-6.009 0.000 -9.640 11.666
-5.543 0.000 -9.640 11.434
-5.095 0.000 -9.640 11.223
-4.663 0.000 -9.640 11.034
-4.245 0.000 -9.640 10.864
-3.839 0.000 -9.640 10.711
-3.443 0.000 -9.640 10.576
-3.057 0.000 -9.640 10.457
-2.679 0.000 -9.640 10.353
-2.309 0.000 -9.640 10.263
-1.944 0.000 -9.640 10.187
-1.584 0.000 -9.640 10.125
-1.228 0.000 -9.640 10.075
-0.875 0.000 -9.640 10.038
-0.524 0.000 -9.640 10.014
-0.175 0.000 -9.640 10.002
0.175 0.000 -9.640 10.002
0.524 0.000 -9.640 10.014
0.875 0.000 -9.640 10.038
1.228 0.000 -9.640 10.075
1.584 0.000 -9.640 10.125
1.944 0.000 -9.640 10.187
2.309 0.000 -9.640 10.263
2.679 0.000 -9.640 10.353
3.057 0.000 -9.640 10.457
3.443 0.000 -9.640 10.576
3.839 0.000 -9.640 10.711
4.245 0.000 -9.640 10.864
4.663 0.000 -9.640 11.034
5.095 0.000 -9.640 11.223
5.543 0.000 -9.640 11.434
6.009 0.000 -9.640 11.666
6.494 0.000 -9.640 11.924
7.002 0.000 -9.640 12.208
7.536 0.000 -9.640 12.521
8.098 0.000 -9.640 12.868
8.693 0.000 -9.640 13.250
9.325 0.000 -9.640 13.673
10.000 0.000 -9.640 14.142
10.724 0.000 -9.640 14.663
11.504 0.000 -9.640 15.243
12.349 0.000 -9.640 15.890
