# Range Matrix: 16 beams x 6 scans
10.824,10.824,10.824,10.824,1.818,10.824
10.608,10.608,10.608,10.608,1.795,3.283
10.429,10.429,10.429,10.429,1.777,3.204
10.284,10.284,10.284,10.284,1.473,3.173
10.170,10.170,10.170,10.170,1.085,3.158
10.086,10.086,10.086,10.086,1.098,3.208
10.031,10.031,10.031,10.031,1.128,3.297
10.003,10.003,10.003,10.003,1.150,3.383
10.003,10.003,10.003,10.003,1.121,3.508
10.031,10.031,10.031,10.031,1.097,3.885
10.086,10.086,10.086,10.086,1.077,3.662
10.170,10.170,10.170,10.170,1.060,4.026
10.284,10.284,10.284,10.284,1.047,4.027
10.429,10.429,10.429,10.429,1.037,4.067
10.608,10.608,10.608,10.608,1.018,5.989
10.824,10.824,10.824,10.824,1.248,6.039
