# LiDAR Point Cloud Data
# Session: 20251016_210702
# Lines: 16, FOV: 48°
# Format: X Y Z Range
# Total Points: 48
-2.050 0.000 -14.950 5.358
-1.753 0.000 -14.950 5.251
-1.466 0.000 -14.950 5.162
-1.188 0.000 -14.950 5.090
-0.917 0.000 -14.950 5.034
-0.652 0.000 -14.950 4.992
-0.390 0.000 -14.950 4.965
-0.130 0.000 -14.950 4.951
0.130 0.000 -14.950 4.951
0.390 0.000 -14.950 4.965
0.652 0.000 -14.950 4.992
0.917 0.000 -14.950 5.034
1.188 0.000 -14.950 5.090
1.466 0.000 -14.950 5.162
1.753 0.000 -14.950 5.251
2.050 0.000 -14.950 5.358
-1.154 0.000 -12.786 3.016
-0.987 0.000 -12.786 2.956
-0.825 0.000 -12.786 2.906
-0.669 0.000 -12.786 2.865
-0.516 0.000 -12.786 2.833
-0.367 0.000 -12.786 2.810
-0.219 0.000 -12.786 2.795
-0.073 0.000 -12.786 2.787
0.073 0.000 -12.786 2.787
0.219 0.000 -12.786 2.795
0.367 0.000 -12.786 2.810
0.516 0.000 -12.786 2.833
0.669 0.000 -12.786 2.865
0.825 0.000 -12.786 2.906
0.987 0.000 -12.786 2.956
1.154 0.000 -12.786 3.016
-0.258 0.000 -10.622 0.674
-0.220 0.000 -10.622 0.660
-0.184 0.000 -10.622 0.649
-0.149 0.000 -10.622 0.640
-0.115 0.000 -10.622 0.633
-0.082 0.000 -10.622 0.628
-0.049 0.000 -10.622 0.624
-0.016 0.000 -10.622 0.622
0.016 0.000 -10.622 0.622
0.049 0.000 -10.622 0.624
0.082 0.000 -10.622 0.628
0.115 0.000 -10.622 0.633
0.149 0.000 -10.622 0.640
0.184 0.000 -10.622 0.649
0.220 0.000 -10.622 0.660
0.258 0.000 -10.622 0.674
