# Range Matrix: 16 beams x 12 scans
5.358,3.016,0.674,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
5.251,2.956,0.660,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
5.162,2.906,0.649,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
5.090,2.865,0.640,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
5.034,2.833,0.633,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
4.992,2.810,0.628,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
4.965,2.795,0.624,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
4.951,2.787,0.622,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
4.951,2.787,0.622,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
4.965,2.795,0.624,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
4.992,2.810,0.628,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
5.034,2.833,0.633,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
5.090,2.865,0.640,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
5.162,2.906,0.649,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
5.251,2.956,0.660,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
5.358,3.016,0.674,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000
