# Range Matrix: 16 beams x 35 scans
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,2.831,2.489,2.475,2.778,2.778,4.414,3.856,4.103,4.114,3.804,3.652
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,2.766,2.358,2.317,2.738,2.776,4.586,3.858,4.259,4.080,3.816,3.649
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,2.254,2.157,2.408,2.756,4.445,4.801,4.080,4.067,3.839,3.656
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,8.401,8.401,8.401,8.446,8.536,7.681,7.546,7.732,7.592,8.734,8.733,8.748,8.802,8.868,10.000,2.174,2.084,2.342,2.715,5.909,6.304,3.998,4.059,3.871,3.674
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,8.308,8.308,7.976,7.757,7.463,7.593,7.582,7.579,7.577,7.700,8.605,8.653,8.678,8.681,8.849,2.142,2.047,2.286,4.061,5.883,6.211,3.943,3.995,5.739,6.141
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,8.618,8.240,8.240,7.909,7.398,7.383,7.378,7.382,7.376,7.326,7.465,7.828,8.577,8.635,8.687,8.792,2.119,2.021,2.239,4.906,5.918,6.203,3.927,5.778,5.723,6.001
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,8.194,8.194,7.866,7.354,7.210,7.205,7.322,7.338,7.286,7.375,7.474,8.036,8.586,8.639,8.744,2.102,2.002,10.000,10.000,5.972,5.930,5.834,5.864,6.268,5.889
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,8.172,8.172,7.845,7.334,7.190,7.185,7.316,7.317,7.334,7.367,7.417,7.477,8.560,8.615,8.705,2.091,2.001,10.000,10.000,6.327,5.733,5.624,5.790,6.321,5.736
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,8.172,8.172,7.845,7.334,7.189,7.184,7.131,7.314,7.342,7.368,7.418,7.477,8.561,8.615,8.705,2.086,2.014,10.000,10.000,10.000,5.613,5.439,5.674,6.244,6.043
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,8.194,8.194,7.866,7.354,7.210,7.205,6.910,7.287,7.324,7.395,7.447,7.801,8.583,8.639,8.744,10.000,2.038,10.000,10.000,10.000,5.609,5.458,5.624,6.169,10.000
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,8.787,8.240,8.240,7.910,7.394,7.250,7.245,7.377,7.391,7.232,7.455,7.519,8.222,8.634,8.687,8.686,10.000,10.000,10.000,10.000,10.000,10.000,5.515,5.993,6.146,10.000
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,8.237,8.308,8.308,7.976,7.603,7.504,7.480,7.478,7.504,7.519,7.547,7.786,8.644,8.678,8.681,8.849,10.000,10.000,10.000,10.000,10.000,10.000,10.000,6.070,10.000,10.000
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,8.329,8.401,8.401,8.401,7.927,7.546,7.546,7.546,7.732,7.592,8.734,8.734,8.733,8.802,8.868,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000
10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000
