# LiDAR Point Cloud Data
# Session: 20251016_205717
# Lines: 30, FOV: 60°
# Format: X Y Z Range
# Total Points: 2850
-5.209 0.000 -8.084 11.434
-4.788 0.000 -8.237 11.223
-4.382 0.000 -8.385 11.034
-3.989 0.000 -8.528 10.864
-3.607 0.000 -8.667 10.711
-3.236 0.000 -8.802 10.576
-2.873 0.000 -8.934 10.457
-2.518 0.000 -9.064 10.353
-2.169 0.000 -9.190 10.263
-1.827 0.000 -9.315 10.187
-1.488 0.000 -9.438 10.125
-1.154 0.000 -9.560 10.075
-0.822 0.000 -9.681 10.038
-0.492 0.000 -9.801 10.014
-0.164 0.000 -9.920 10.002
0.164 0.000 -10.040 10.002
0.492 0.000 -10.159 10.014
0.822 0.000 -10.279 10.038
1.154 0.000 -10.400 10.075
1.488 0.000 -10.522 10.125
1.827 0.000 -10.645 10.187
2.169 0.000 -10.770 10.263
2.518 0.000 -10.896 10.353
2.873 0.000 -11.026 10.457
3.236 0.000 -11.158 10.576
3.607 0.000 -11.293 10.711
3.989 0.000 -11.432 10.864
4.382 0.000 -11.575 11.034
4.788 0.000 -11.723 11.223
5.209 0.000 -11.876 11.434
-5.209 0.000 -7.864 11.434
-4.788 0.000 -8.017 11.223
-4.382 0.000 -8.165 11.034
-3.989 0.000 -8.308 10.864
-3.607 0.000 -8.447 10.711
-3.236 0.000 -8.582 10.576
-2.873 0.000 -8.714 10.457
-2.518 0.000 -8.844 10.353
-2.169 0.000 -8.970 10.263
-1.827 0.000 -9.095 10.187
-1.488 0.000 -9.218 10.125
-1.154 0.000 -9.340 10.075
-0.822 0.000 -9.461 10.038
-0.492 0.000 -9.581 10.014
-0.164 0.000 -9.700 10.002
0.164 0.000 -9.820 10.002
0.492 0.000 -9.939 10.014
0.822 0.000 -10.059 10.038
1.154 0.000 -10.180 10.075
1.488 0.000 -10.302 10.125
1.827 0.000 -10.425 10.187
2.169 0.000 -10.550 10.263
2.518 0.000 -10.676 10.353
2.873 0.000 -10.806 10.457
3.236 0.000 -10.938 10.576
3.607 0.000 -11.073 10.711
3.989 0.000 -11.212 10.864
4.382 0.000 -11.355 11.034
4.788 0.000 -11.503 11.223
5.209 0.000 -11.656 11.434
-5.209 0.000 -7.644 11.434
-4.788 0.000 -7.797 11.223
-4.382 0.000 -7.945 11.034
-3.989 0.000 -8.088 10.864
-3.607 0.000 -8.227 10.711
-3.236 0.000 -8.362 10.576
-2.873 0.000 -8.494 10.457
-2.518 0.000 -8.624 10.353
-2.169 0.000 -8.750 10.263
-1.827 0.000 -8.875 10.187
-1.488 0.000 -8.998 10.125
-1.154 0.000 -9.120 10.075
-0.822 0.000 -9.241 10.038
-0.492 0.000 -9.361 10.014
-0.164 0.000 -9.480 10.002
0.164 0.000 -9.600 10.002
0.492 0.000 -9.719 10.014
0.822 0.000 -9.839 10.038
1.154 0.000 -9.960 10.075
1.488 0.000 -10.082 10.125
1.827 0.000 -10.205 10.187
2.169 0.000 -10.330 10.263
2.518 0.000 -10.456 10.353
2.873 0.000 -10.586 10.457
3.236 0.000 -10.718 10.576
3.607 0.000 -10.853 10.711
3.989 0.000 -10.992 10.864
4.382 0.000 -11.135 11.034
4.788 0.000 -11.283 11.223
5.209 0.000 -11.436 11.434
-5.209 0.000 -7.444 11.434
-4.788 0.000 -7.597 11.223
-4.382 0.000 -7.745 11.034
-3.989 0.000 -7.888 10.864
-3.607 0.000 -8.027 10.711
-3.236 0.000 -8.162 10.576
-2.873 0.000 -8.294 10.457
-2.518 0.000 -8.424 10.353
-2.169 0.000 -8.550 10.263
-1.827 0.000 -8.675 10.187
-1.488 0.000 -8.798 10.125
-1.154 0.000 -8.920 10.075
-0.822 0.000 -9.041 10.038
-0.492 0.000 -9.161 10.014
-0.164 0.000 -9.280 10.002
0.164 0.000 -9.400 10.002
0.492 0.000 -9.519 10.014
0.822 0.000 -9.639 10.038
1.154 0.000 -9.760 10.075
1.488 0.000 -9.882 10.125
1.827 0.000 -10.005 10.187
2.169 0.000 -10.130 10.263
2.518 0.000 -10.256 10.353
2.873 0.000 -10.386 10.457
3.236 0.000 -10.518 10.576
3.607 0.000 -10.653 10.711
3.989 0.000 -10.792 10.864
4.382 0.000 -10.935 11.034
4.788 0.000 -11.083 11.223
5.209 0.000 -11.236 11.434
-5.209 0.000 -7.224 11.434
-4.788 0.000 -7.377 11.223
-4.382 0.000 -7.525 11.034
-3.989 0.000 -7.668 10.864
-3.607 0.000 -7.807 10.711
-3.236 0.000 -7.942 10.576
-2.873 0.000 -8.074 10.457
-2.518 0.000 -8.204 10.353
-2.169 0.000 -8.330 10.263
-1.827 0.000 -8.455 10.187
-1.488 0.000 -8.578 10.125
-1.154 0.000 -8.700 10.075
-0.822 0.000 -8.821 10.038
-0.492 0.000 -8.941 10.014
-0.164 0.000 -9.060 10.002
0.164 0.000 -9.180 10.002
0.492 0.000 -9.299 10.014
0.822 0.000 -9.419 10.038
1.154 0.000 -9.540 10.075
1.488 0.000 -9.662 10.125
1.827 0.000 -9.785 10.187
2.169 0.000 -9.910 10.263
2.518 0.000 -10.036 10.353
2.873 0.000 -10.166 10.457
3.236 0.000 -10.298 10.576
3.607 0.000 -10.433 10.711
3.989 0.000 -10.572 10.864
4.382 0.000 -10.715 11.034
4.788 0.000 -10.863 11.223
5.209 0.000 -11.016 11.434
-5.209 0.000 -7.004 11.434
-4.788 0.000 -7.157 11.223
-4.382 0.000 -7.305 11.034
-3.989 0.000 -7.448 10.864
-3.607 0.000 -7.587 10.711
-3.236 0.000 -7.722 10.576
-2.873 0.000 -7.854 10.457
-2.518 0.000 -7.984 10.353
-2.169 0.000 -8.110 10.263
-1.827 0.000 -8.235 10.187
-1.488 0.000 -8.358 10.125
-1.154 0.000 -8.480 10.075
-0.822 0.000 -8.601 10.038
-0.492 0.000 -8.721 10.014
-0.164 0.000 -8.840 10.002
0.164 0.000 -8.960 10.002
0.492 0.000 -9.079 10.014
0.822 0.000 -9.199 10.038
1.154 0.000 -9.320 10.075
1.488 0.000 -9.442 10.125
1.827 0.000 -9.565 10.187
2.169 0.000 -9.690 10.263
2.518 0.000 -9.816 10.353
2.873 0.000 -9.946 10.457
3.236 0.000 -10.078 10.576
3.607 0.000 -10.213 10.711
3.989 0.000 -10.352 10.864
4.382 0.000 -10.495 11.034
4.788 0.000 -10.643 11.223
5.209 0.000 -10.796 11.434
-5.209 0.000 -6.784 11.434
-4.788 0.000 -6.937 11.223
-4.382 0.000 -7.085 11.034
-3.989 0.000 -7.228 10.864
-3.607 0.000 -7.367 10.711
-3.236 0.000 -7.502 10.576
-2.873 0.000 -7.634 10.457
-2.518 0.000 -7.764 10.353
-2.169 0.000 -7.890 10.263
-1.827 0.000 -8.015 10.187
-1.488 0.000 -8.138 10.125
-1.154 0.000 -8.260 10.075
-0.822 0.000 -8.381 10.038
-0.492 0.000 -8.501 10.014
-0.164 0.000 -8.620 10.002
0.164 0.000 -8.740 10.002
0.492 0.000 -8.859 10.014
