# LiDAR Point Cloud Data
# Session: 20251016_205717
# Lines: 30, FOV: 60°
# Format: X Y Z Range
# Total Points: 570
-5.209 0.000 -8.104 11.434
-4.788 0.000 -8.257 11.223
-4.382 0.000 -8.405 11.034
-3.989 0.000 -8.548 10.864
-3.607 0.000 -8.687 10.711
-3.236 0.000 -8.822 10.576
-2.873 0.000 -8.954 10.457
-2.518 0.000 -9.084 10.353
-2.169 0.000 -9.210 10.263
-1.827 0.000 -9.335 10.187
-1.488 0.000 -9.458 10.125
-1.154 0.000 -9.580 10.075
-0.822 0.000 -9.701 10.038
-0.492 0.000 -9.821 10.014
-0.164 0.000 -9.940 10.002
0.164 0.000 -10.060 10.002
0.492 0.000 -10.179 10.014
0.822 0.000 -10.299 10.038
1.154 0.000 -10.420 10.075
1.488 0.000 -10.542 10.125
1.827 0.000 -10.665 10.187
2.169 0.000 -10.790 10.263
2.518 0.000 -10.916 10.353
2.873 0.000 -11.046 10.457
3.236 0.000 -11.178 10.576
3.607 0.000 -11.313 10.711
3.989 0.000 -11.452 10.864
4.382 0.000 -11.595 11.034
4.788 0.000 -11.743 11.223
5.209 0.000 -11.896 11.434
-5.209 0.000 -7.004 11.434
-4.788 0.000 -7.157 11.223
-4.382 0.000 -7.305 11.034
-3.989 0.000 -7.448 10.864
-3.607 0.000 -7.587 10.711
-3.236 0.000 -7.722 10.576
-2.873 0.000 -7.854 10.457
-2.518 0.000 -7.984 10.353
-2.169 0.000 -8.110 10.263
-1.827 0.000 -8.235 10.187
-1.488 0.000 -8.358 10.125
-1.154 0.000 -8.480 10.075
-0.822 0.000 -8.601 10.038
-0.492 0.000 -8.721 10.014
-0.164 0.000 -8.840 10.002
0.164 0.000 -8.960 10.002
0.492 0.000 -9.079 10.014
0.822 0.000 -9.199 10.038
1.154 0.000 -9.320 10.075
1.488 0.000 -9.442 10.125
1.827 0.000 -9.565 10.187
2.169 0.000 -9.690 10.263
2.518 0.000 -9.816 10.353
2.873 0.000 -9.946 10.457
3.236 0.000 -10.078 10.576
3.607 0.000 -10.213 10.711
3.989 0.000 -10.352 10.864
4.382 0.000 -10.495 11.034
4.788 0.000 -10.643 11.223
5.209 0.000 -10.796 11.434
-5.209 0.000 -6.004 11.434
-4.788 0.000 -6.157 11.223
-4.382 0.000 -6.305 11.034
-3.989 0.000 -6.448 10.864
-3.607 0.000 -6.587 10.711
-3.236 0.000 -6.722 10.576
-2.873 0.000 -6.854 10.457
-2.518 0.000 -6.984 10.353
-2.169 0.000 -7.110 10.263
-1.827 0.000 -7.235 10.187
-1.488 0.000 -7.358 10.125
-1.154 0.000 -7.480 10.075
-0.822 0.000 -7.601 10.038
-0.492 0.000 -7.721 10.014
-0.164 0.000 -7.840 10.002
0.164 0.000 -7.960 10.002
0.492 0.000 -8.079 10.014
0.822 0.000 -8.199 10.038
1.154 0.000 -8.320 10.075
1.488 0.000 -8.442 10.125
1.827 0.000 -8.565 10.187
2.169 0.000 -8.690 10.263
2.518 0.000 -8.816 10.353
2.873 0.000 -8.946 10.457
3.236 0.000 -9.078 10.576
3.607 0.000 -9.213 10.711
3.989 0.000 -9.352 10.864
4.382 0.000 -9.495 11.034
4.788 0.000 -9.643 11.223
5.209 0.000 -9.796 11.434
-5.209 0.000 -4.904 11.434
-4.788 0.000 -5.057 11.223
-4.382 0.000 -5.205 11.034
-3.989 0.000 -5.348 10.864
-3.607 0.000 -5.487 10.711
-3.236 0.000 -5.622 10.576
-2.873 0.000 -5.754 10.457
-2.518 0.000 -5.884 10.353
-2.169 0.000 -6.010 10.263
-1.827 0.000 -6.135 10.187
-1.488 0.000 -6.258 10.125
-1.154 0.000 -6.380 10.075
